strain,country,region,year,classification,strain,ST,K_locus,O_locus,O_type
GCF_900512995.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT039,ST45,KL24,O2v1,O2
GCF_900503645.1,Luxembourg,Europe_western,2014,human,EuSCAPE_LU008,ST147,KL64,O2v1,O2
GCF_900508325.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL011,ST45,KL24,O2v1,O2
GCF_900501795.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT050,ST45,KL24,O2v1,O2
GCF_900510655.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK011,ST11,KL24,O2v1,O2
GCF_900510895.1,Slovakia,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_SK048,ST11,KL24,O2v1,O2
GCF_900507845.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR043,ST1731,KL43,O2v1,O2
GCF_900505425.1,Serbia,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_RS077,ST147,unknown,O2v1,O2
GCF_900507055.1,Belgium,Europe_western,2014,human_respiratory,EuSCAPE_BE097,ST147,KL64,O2v1,O2
GCF_900507565.1,Belgium,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_BE105,ST147,KL64,O2v1,O2
GCF_900502525.1,Denmark,Europe_northern,2014,human_blood_bone_sterile,EuSCAPE_DK001,ST147,KL64,O2v1,O2
GCF_900502585.1,Denmark,Europe_northern,2014,human_abscess_pus_fluid,EuSCAPE_DK013,ST147,KL64,O2v1,O2
GCF_900516375.1,Spain,Europe_southern,2013,human_wound_trauma,EuSCAPE_ES061,ST11,KL24,O2v1,O2
GCF_900516455.1,Spain,Europe_southern,2013,human_wound_trauma,EuSCAPE_ES067,ST11,KL64,O2v1,O2
GCF_900501065.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES130,ST15,KL24,O2v1,O2
GCF_900517095.1,Spain,Europe_southern,2014,human_respiratory,EuSCAPE_ES261,ST147,KL64,O2v1,O2
GCF_900517665.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES277,ST147,KL64,O2v1,O2
GCF_900517655.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES278,ST147,KL64,O2v1,O2
GCF_900510435.1,France,Europe_western,2014,human_urogenital_urine,EuSCAPE_FR016,ST147,KL64,O2v1,O2
GCF_900502395.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR147,ST147,KL64,O2v1,O2
GCF_900517045.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU053,ST147,KL64,O2v1,O2
GCF_900512155.1,Israel,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_IL006,ST147,KL64,O2v1,O2
GCF_900513535.1,Israel,Asia_western,2013,human_wound_trauma,EuSCAPE_IL054,ST147,KL64,O2v1,O2
GCF_900513215.1,Italy,Europe_southern,2013,human_wound_trauma,EuSCAPE_IT062,ST147,KL64,O2v1,O2
GCF_900511365.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL006,ST147,KL64,O2v1,O2
GCF_900511505.1,Poland,Europe_eastern,2013,human_wound_trauma,EuSCAPE_PL056,ST147,KL64,O2v1,O2
GCF_900504855.1,Romania,Europe_eastern,2014,human_respiratory,EuSCAPE_RO005,ST147,KL64,O2v1,O2
GCF_900504585.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO028,ST147,KL64,O2v1,O2
GCF_900504685.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO039,ST147,KL64,O2v1,O2
GCF_900504225.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO076,ST147,KL64,O2v1,O2
GCF_900504315.1,Romania,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_RO081,ST147,KL64,O2v1,O2
GCF_900507835.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR042,ST1193,KL22,O2v1,O2
GCF_900508845.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR221,ST1193,KL22,O2v1,O2
GCF_900511335.1,Austria,Europe_western,2014,human_wound_trauma,EuSCAPE_AT030,ST3635,KL132,O2v1,O2
GCF_900506625.1,Belgium,Europe_western,2013,human_urogenital_urine,EuSCAPE_BE042,ST485,KL28,O2v1,O2
GCF_900511115.1,Czech Republic,Europe_eastern,2014,human_respiratory,EuSCAPE_CZ025,ST11,KL2,O2v1,O2
GCF_900508475.1,Czech Republic,Europe_eastern,2014,human_respiratory,EuSCAPE_CZ026,ST11,KL2,O2v1,O2
GCF_900512515.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE050,ST301,KL7,O2v1,O2
GCF_900516285.1,Spain,Europe_southern,2013,human_respiratory,EuSCAPE_ES046,ST11,KL24,O2v1,O2
GCF_900516435.1,Spain,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_ES068,ST11,KL24,O2v1,O2
GCF_900516475.1,Spain,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_ES075,ST11,KL24,O2v1,O2
GCF_900516505.1,Spain,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_ES076,ST45,KL24,O2v1,O2
GCF_900516555.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES081,ST45,KL24,O2v1,O2
GCF_900516565.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES082,ST11,KL24,O2v1,O2
GCF_900516625.1,Spain,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_ES089,ST11,KL24,O2v1,O2
GCF_900501115.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES141,ST661,KL24,O2v1,O2
GCF_900501205.1,Spain,Europe_southern,2014,human_wound_trauma,EuSCAPE_ES174,ST45,KL24,O2v1,O2
GCF_900500915.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES182,ST268,KL20,O2v1,O2
GCF_900517625.1,Spain,Europe_southern,2013,human_urogenital_urine,EuSCAPE_ES279,ST11,KL24,O2v1,O2
GCF_900511635.1,France,Europe_western,2013,human_respiratory,EuSCAPE_FR007,ST45,KL24,O2v1,O2
GCF_900510395.1,France,Europe_western,2013,human_blood_bone_sterile,EuSCAPE_FR013,ST3649,KL24,O2v1,O2
GCF_900511605.1,France,Europe_western,2014,human_urogenital_urine,EuSCAPE_FR018,ST661,KL6,O2v1,O2
GCF_900510575.1,France,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_FR052,ST45,KL24,O2v1,O2
GCF_900501355.1,Greece,Europe_southern,2013,human_urogenital_urine,EuSCAPE_GR065,ST3072,KL39,O2v1,O2
GCF_900502785.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR096,ST45,KL24,O2v1,O2
GCF_900501495.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR117,ST45,KL24,O2v1,O2
GCF_900501485.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR119,ST45,KL24,O2v1,O2
GCF_900502335.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR131,ST2513,KL62,O2v1,O2
GCF_900502405.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR163,ST3652,KL47,O2v1,O2
GCF_900506435.1,Ireland,Europe_northern,2014,human_urogenital_urine,EuSCAPE_IE040,ST485,KL6,O2v1,O2
GCF_900512985.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT037,ST2938,KL62,O2v1,O2
GCF_900514835.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT117,ST661,KL28,O2v1,O2
GCF_900515005.1,Italy,Europe_southern,2014,human_wound_trauma,EuSCAPE_IT139,ST45,KL24,O2v1,O2
GCF_900515105.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT145,ST268,KL20,O2v1,O2
GCF_900514325.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT206,ST45,KL24,O2v1,O2
GCF_900514405.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT221,ST45,KL62,O2v1,O2
GCF_900515915.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT323,ST45,KL24,O2v1,O2
GCF_900517785.1,Luxembourg,Europe_western,2013,human,EuSCAPE_LU001,ST45,KL62,O2v1,O2
GCF_900517795.1,Luxembourg,Europe_western,2013,human,EuSCAPE_LU002,ST45,KL62,O2v1,O2
GCF_900503685.1,Luxembourg,Europe_western,2014,human,EuSCAPE_LU011,ST45,KL62,O2v1,O2
GCF_900502945.1,Luxembourg,Europe_western,2014,human,EuSCAPE_LU012,ST45,KL62,O2v1,O2
GCF_900511455.1,Poland,Europe_eastern,2014,human_wound_trauma,EuSCAPE_PL022,ST3665,KL7,O2v1,O2
GCF_900502675.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT004,ST45,KL24,O2v1,O2
GCF_900502665.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT005,ST45,KL24,O2v1,O2
GCF_900502685.1,Portugal,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_PT007,ST45,KL24,O2v1,O2
GCF_900502735.1,Portugal,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_PT010,ST45,KL24,O2v1,O2
GCF_900502745.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT012,ST45,KL24,O2v1,O2
GCF_900502755.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT013,ST45,KL24,O2v1,O2
GCF_900502765.1,Portugal,Europe_southern,2013,human_urogenital_urine,EuSCAPE_PT014,ST45,KL24,O2v1,O2
GCF_900502885.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT031,ST45,KL24,O2v1,O2
GCF_900502895.1,Portugal,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_PT032,ST45,KL24,O2v1,O2
GCF_900501735.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT043,ST45,KL24,O2v1,O2
GCF_900501845.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT054,ST1997,KL28,O2v1,O2
GCF_900501895.1,Portugal,Europe_southern,2014,human_respiratory,EuSCAPE_PT055,ST45,KL24,O2v1,O2
GCF_900501885.1,Portugal,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_PT056,ST45,KL24,O2v1,O2
GCF_900501865.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT057,ST45,KL24,O2v1,O2
GCF_900501945.1,Portugal,Europe_southern,2014,human_respiratory,EuSCAPE_PT060,ST45,KL24,O2v1,O2
GCF_900501995.1,Portugal,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_PT069,ST45,KL24,O2v1,O2
GCF_900502165.1,Portugal,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_PT096,ST45,KL24,O2v1,O2
GCF_900502195.1,Portugal,Europe_southern,2014,human,EuSCAPE_PT097,ST1997,KL28,O2v1,O2
GCF_900504245.1,Romania,Europe_eastern,2014,human_abscess_pus_fluid,EuSCAPE_RO013,ST1408,KL24,O2v1,O2
GCF_900504755.1,Romania,Europe_eastern,2014,human_blood_bone_sterile,EuSCAPE_RO024,ST147,KL64,O2v1,O2
GCF_900504295.1,Romania,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_RO079,ST11,KL110,O2v1,O2
GCF_900510665.1,Slovakia,Europe_eastern,2014,human_catheter_tube_tip,EuSCAPE_SK015,ST3674,KL39,O2v1,O2
GCF_900508425.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK026,ST11,KL2,O2v1,O2
GCF_900510795.1,Slovakia,Europe_eastern,2014,human_wound_trauma,EuSCAPE_SK033,ST11,KL2,O2v1,O2
GCF_900507905.1,Turkey,Asia_western,2014,human_urogenital_urine,EuSCAPE_TR054,ST294,KL30,O2v1,O2
GCF_900507965.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR059,ST294,KL30,O2v1,O2
GCF_900507985.1,Turkey,Asia_western,2014,human_respiratory,EuSCAPE_TR062,ST294,KL30,O2v1,O2
GCF_900508965.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR237,ST45,KL24,O2v1,O2
GCF_900509085.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR265,ST45,KL24,O2v1,O2
GCF_900509075.1,Turkey,Asia_western,2013,human_urogenital_urine,EuSCAPE_TR266,ST45,KL24,O2v1,O2
GCF_900504745.1,UK,Europe_northern,2013,human_blood_bone_sterile,EuSCAPE_UK013,ST2333,KL28,O2v1,O2
GCF_900503175.1,UK,Europe_northern,2014,human_respiratory,EuSCAPE_UK076,ST45,KL24,O2v1,O2
GCF_900503215.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK119,ST45,KL24,O2v1,O2
GCF_900511475.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL040,ST11,KL105,O2v2,O2
GCF_900501765.1,Portugal,Europe_southern,2014,human_urogenital_urine,EuSCAPE_PT044,ST1454,KL25,O2v2,O2
GCF_900512945.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT033,ST280,KL23,O2v2,O2
GCF_900510335.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL057,ST11,KL105,O2v2,O2
GCF_900510415.1,France,Europe_western,2013,human_urogenital_urine,EuSCAPE_FR008,ST11,KL105,O2v2,O2
GCF_900510065.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL007,ST11,KL105,O2v2,O2
GCF_900510105.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL010,ST11,KL105,O2v2,O2
GCF_900510185.1,Poland,Europe_eastern,2013,human_abscess_pus_fluid,EuSCAPE_PL031,ST11,KL105,O2v2,O2
GCF_900510215.1,Poland,Europe_eastern,2014,human_respiratory,EuSCAPE_PL032,ST11,KL105,O2v2,O2
GCF_900510285.1,Poland,Europe_eastern,2014,human_respiratory,EuSCAPE_PL036,ST11,KL105,O2v2,O2
GCF_900510305.1,Poland,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_PL037,ST11,KL105,O2v2,O2
GCF_900511465.1,Poland,Europe_eastern,2013,human_respiratory,EuSCAPE_PL038,ST11,KL105,O2v2,O2
GCF_900510275.1,Poland,Europe_eastern,2013,human_respiratory,EuSCAPE_PL045,ST11,KL105,O2v2,O2
GCF_900510345.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL060,ST11,KL105,O2v2,O2
GCF_900510615.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK004,ST11,KL105,O2v2,O2
GCF_900510695.1,Slovakia,Europe_eastern,2014,human_nasal_throat_mouth,EuSCAPE_SK010,ST11,KL105,O2v2,O2
GCF_900510735.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK027,ST11,KL105,O2v2,O2
GCF_900510805.1,Slovakia,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_SK030,ST11,KL105,O2v2,O2
GCF_900510845.1,Slovakia,Europe_eastern,2014,human_respiratory,EuSCAPE_SK034,ST11,KL105,O2v2,O2
GCF_900511615.1,France,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_FR022,ST34,KL122,O2v2,O2
GCF_900511645.1,France,Europe_western,2014,human_urogenital_urine,EuSCAPE_FR030,ST307,KL102,O2v2,O2
GCF_900511205.1,France,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_FR073,ST37,KL136,O2v2,O2
GCF_900500785.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR046,ST20,KL28,O2v2,O2
GCF_900505965.1,Croatia,Europe_southern,2014,human_respiratory,EuSCAPE_HR051,ST218,KL57,O2v2,O2
GCF_900516915.1,Hungary,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_HU033,ST11,KL105,O2v2,O2
GCF_900516995.1,Hungary,Europe_eastern,2013,human_urogenital_urine,EuSCAPE_HU052,ST11,KL105,O2v2,O2
GCF_900513865.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL086,ST512,KL107,O2v2,O2
GCF_900513245.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT070,ST258,KL107,O2v2,O2
GCF_900513295.1,Italy,Europe_southern,2013,human_wound_trauma,EuSCAPE_IT078,ST512,KL107,O2v2,O2
GCF_900513315.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT080,ST512,KL107,O2v2,O2
GCF_900513405.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT083,ST512,KL107,O2v2,O2
GCF_900513355.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT085,ST512,KL107,O2v2,O2
GCF_900508555.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT087,ST512,KL107,O2v2,O2
GCF_900508525.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT094,ST512,KL107,O2v2,O2
GCF_900514775.1,Italy,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_IT116,ST512,KL107,O2v2,O2
GCF_900515125.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT161,ST307,KL102,O2v2,O2
GCF_900515785.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT290,ST258,KL107,O2v2,O2
GCF_900515985.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT330,ST512,KL107,O2v2,O2
GCF_900510745.1,Slovakia,Europe_eastern,2014,human_wound_trauma,EuSCAPE_SK029,ST280,KL23,O2v2,O2
GCF_900503975.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK081,ST307,KL102,O2v2,O2
GCF_900502415.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR149,ST258,KL106,O2v2,O2
GCF_900512845.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT024,ST512,KL107,O2v2,O2
GCF_900515885.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT264,ST512,KL107,O2v2,O2
GCF_900511195.1,Austria,Europe_western,2013,human_urogenital_urine,EuSCAPE_AT018,ST512,KL107,O2v2,O2
GCF_900509895.1,Austria,Europe_western,2014,human_urogenital_urine,EuSCAPE_AT022,ST258,KL106,O2v2,O2
GCF_900509945.1,Austria,Europe_western,2014,human_wound_trauma,EuSCAPE_AT027,ST258,KL107,O2v2,O2
GCF_900507005.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE092,ST258,KL106,O2v2,O2
GCF_900512165.1,Germany,Europe_western,2014,human_urogenital_urine,EuSCAPE_DE016,ST258,KL106,O2v2,O2
GCF_900512375.1,Germany,Europe_western,2014,human_respiratory,EuSCAPE_DE028,ST258,KL106,O2v2,O2
GCF_900512535.1,Germany,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_DE051,ST258,KL106,O2v2,O2
GCF_900512645.1,Germany,Europe_western,2013,human_wound_trauma,EuSCAPE_DE074,ST258,KL106,O2v2,O2
GCF_900517605.1,Spain,Europe_southern,2014,human_urogenital_urine,EuSCAPE_ES258,ST453,KL8,O2v2,O2
GCF_900511585.1,France,Europe_western,2013,human_urogenital_urine,EuSCAPE_FR006,ST258,KL106,O2v2,O2
GCF_900510425.1,France,Europe_western,2013,human_wound_trauma,EuSCAPE_FR014,ST307,KL102,O2v2,O2
GCF_900510545.1,France,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_FR043,ST307,KL102,O2v2,O2
GCF_900511135.1,France,Europe_western,2014,human,EuSCAPE_FR072,ST147,KL106,O2v2,O2
GCF_900501375.1,Greece,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_GR003,ST258,KL106,O2v2,O2
GCF_900500705.1,Greece,Europe_southern,2014,human_respiratory,EuSCAPE_GR022,ST258,KL106,O2v2,O2
GCF_900500695.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR030,ST258,KL106,O2v2,O2
GCF_900500775.1,Greece,Europe_southern,2014,human_wound_trauma,EuSCAPE_GR032,ST258,KL106,O2v2,O2
GCF_900501235.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR036,ST258,KL106,O2v2,O2
GCF_900501245.1,Greece,Europe_southern,2014,human_respiratory,EuSCAPE_GR049,ST258,KL106,O2v2,O2
GCF_900500815.1,Greece,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_GR051,ST258,KL106,O2v2,O2
GCF_900500795.1,Greece,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_GR053,ST258,KL106,O2v2,O2
GCF_900501295.1,Greece,Europe_southern,2013,human_wound_trauma,EuSCAPE_GR055,ST258,KL106,O2v2,O2
GCF_900500835.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR057,ST258,KL106,O2v2,O2
GCF_900501315.1,Greece,Europe_southern,2013,human_abscess_pus_fluid,EuSCAPE_GR061,ST20,KL22,O2v2,O2
GCF_900501325.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR066,ST258,KL106,O2v2,O2
GCF_900501365.1,Greece,Europe_southern,2014,human_respiratory,EuSCAPE_GR069,ST258,KL106,O2v2,O2
GCF_900501385.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR085,ST258,KL106,O2v2,O2
GCF_900502255.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR089,ST258,KL106,O2v2,O2
GCF_900502345.1,Greece,Europe_southern,2014,human_respiratory,EuSCAPE_GR090,ST258,KL106,O2v2,O2
GCF_900502465.1,Greece,Europe_southern,2014,human_catheter_tube_tip,EuSCAPE_GR091,ST258,KL106,O2v2,O2
GCF_900502075.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR105,ST258,KL106,O2v2,O2
GCF_900501395.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR107,ST258,KL106,O2v2,O2
GCF_900501455.1,Greece,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_GR108,ST258,KL106,O2v2,O2
GCF_900501445.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR110,ST258,KL106,O2v2,O2
GCF_900502365.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR139,ST258,KL106,O2v2,O2
GCF_900501525.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR146,ST258,KL106,O2v2,O2
GCF_900501555.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR151,ST258,KL106,O2v2,O2
GCF_900502425.1,Greece,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_GR165,ST258,KL106,O2v2,O2
GCF_900503355.1,Croatia,Europe_southern,2013,human_catheter_tube_tip,EuSCAPE_HR021,ST258,KL106,O2v2,O2
GCF_900516795.1,Hungary,Europe_eastern,2013,human_external,EuSCAPE_HU017,ST11,KL105,O2v2,O2
GCF_900506395.1,Ireland,Europe_northern,2014,human_wound_trauma,EuSCAPE_IE024,ST258,KL106,O2v2,O2
GCF_900514085.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL033,ST512,KL107,O2v2,O2
GCF_900512785.1,Israel,Asia_western,2014,human_urogenital_urine,EuSCAPE_IL034,ST512,KL107,O2v2,O2
GCF_900513425.1,Israel,Asia_western,2014,human_blood_bone_sterile,EuSCAPE_IL044,ST258,KL107,O2v2,O2
GCF_900512805.1,Italy,Europe_southern,2013,human_respiratory,EuSCAPE_IT022,ST512,KL107,O2v2,O2
GCF_900512915.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT030,ST512,KL107,O2v2,O2
GCF_900514875.1,Italy,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_IT124,ST512,KL107,O2v2,O2
GCF_900514885.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT126,ST512,KL107,O2v2,O2
GCF_900514965.1,Italy,Europe_southern,2014,human_abscess_pus_fluid,EuSCAPE_IT136,ST258,KL106,O2v2,O2
GCF_900515015.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT138,ST258,KL106,O2v2,O2
GCF_900515045.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT142,ST258,KL106,O2v2,O2
GCF_900515035.1,Italy,Europe_southern,2014,human_respiratory,EuSCAPE_IT144,ST258,KL106,O2v2,O2
GCF_900515095.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT148,ST258,KL106,O2v2,O2
GCF_900514365.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT214,ST512,KL107,O2v2,O2
GCF_900514545.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT238,ST512,KL107,O2v2,O2
GCF_900515875.1,Italy,Europe_southern,2013,human,EuSCAPE_IT318,ST512,KL107,O2v2,O2
GCF_900516145.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT355,ST307,KL102,O2v2,O2
GCF_900515565.1,Italy,Europe_southern,2014,human_respiratory,EuSCAPE_IT387,ST719,KL39,O2v2,O2
GCF_900515655.1,Italy,Europe_southern,2013,human_urogenital_urine,EuSCAPE_IT400,ST307,KL102,O2v2,O2
GCF_900515635.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT403,ST258,KL106,O2v2,O2
GCF_900515645.1,Italy,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_IT404,ST512,KL107,O2v2,O2
GCF_900517855.1,Macedonia,Europe_southern,2014,human_respiratory,EuSCAPE_MK006,ST258,KL106,O2v2,O2
GCF_900511395.1,Poland,Europe_eastern,2014,human_urogenital_urine,EuSCAPE_PL016,ST11,KL105,O2v2,O2
GCF_900510195.1,Poland,Europe_eastern,2014,human_respiratory,EuSCAPE_PL025,ST11,KL105,O2v2,O2
GCF_900510135.1,Poland,Europe_eastern,2013,human_wound_trauma,EuSCAPE_PL026,ST258,KL107,O2v2,O2
GCF_900510175.1,Poland,Europe_eastern,2014,human_blood_bone_sterile,EuSCAPE_PL030,ST11,KL105,O2v2,O2
GCF_900510295.1,Poland,Europe_eastern,2014,human_respiratory,EuSCAPE_PL039,ST258,KL107,O2v2,O2
GCF_900510385.1,Poland,Europe_eastern,2014,human_respiratory,EuSCAPE_PL054,ST11,KL105,O2v2,O2
GCF_900503775.1,UK,Europe_northern,2013,human_urogenital_urine,EuSCAPE_SC001,ST258,KL106,O2v2,O2
GCF_900510705.1,Slovakia,Europe_eastern,2013,human_respiratory,EuSCAPE_SK017,ST258,KL106,O2v2,O2
GCF_900507385.1,Turkey,Asia_western,2013,human_blood_bone_sterile,EuSCAPE_TR125,ST307,KL102,O2v2,O2
GCF_900504815.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK025,ST258,KL106,O2v2,O2
GCF_900504845.1,UK,Europe_northern,2014,human_abscess_pus_fluid,EuSCAPE_UK030,ST258,KL106,O2v2,O2
GCF_900503825.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK047,ST258,KL106,O2v2,O2
GCF_900503925.1,UK,Europe_northern,2014,human_abscess_pus_fluid,EuSCAPE_UK067,ST915,KL62,O2v2,O2
GCF_900506755.1,Belgium,Europe_western,2014,human_wound_trauma,EuSCAPE_BE024,ST3637,KL3,O2v2,O2
GCF_900511695.1,France,Europe_western,2014,human_blood_bone_sterile,EuSCAPE_FR036,ST218,KL57,O2v2,O2
