strain,Sample name,Meropenem MIC (centralised re-testing),ompK35 functionality,ompK36 functionality,Colistin resistance
GCF_900513525.1,EuSCAPE_IL056,0.5,Functional,Functional,Sensitive
GCF_900505585.1,EuSCAPE_RS098,0.5,Functional,Functional,Unknown
GCF_900500915.1,EuSCAPE_ES182,≤0.06,Functional,Functional,Sensitive
GCF_900501205.1,EuSCAPE_ES174,≤0.06,Functional,Functional,Sensitive
GCF_900503035.1,EuSCAPE_SI009,1,Functional,Functional,Sensitive
GCF_902155905.1,EuSCAPE_LV006,1,Functional,Functional,Unknown
GCF_902155975.1,EuSCAPE_IT312,2,Functional,Functional,Sensitive
GCF_902155835.1,EuSCAPE_ES220,2,Functional,Functional,Sensitive
GCF_900517305.1,EuSCAPE_ES221,2,Functional,Functional,Sensitive
GCF_900517465.1,EuSCAPE_ES237,2,Functional,Functional,Sensitive
GCF_900516325.1,EuSCAPE_HU005,0.25,Functional,Functional,Resistant
GCF_900516725.1,EuSCAPE_HU011,0.25,Functional,Functional,Sensitive
GCF_900516715.1,EuSCAPE_HU012,0.25,Functional,Functional,Sensitive
GCF_900516845.1,EuSCAPE_HU021,0.25,Functional,Functional,Sensitive
GCF_900516905.1,EuSCAPE_HU029,0.25,Functional,Functional,Sensitive
GCF_900516395.1,EuSCAPE_HU006,0.5,Functional,Functional,Sensitive
GCF_900516745.1,EuSCAPE_HU013,0.5,Functional,Functional,Sensitive
GCF_902155885.1,EuSCAPE_HU025,0.5,Functional,Functional,Sensitive
GCF_900517085.1,EuSCAPE_HU002,0.5,Functional,Functional,Sensitive
GCF_900517135.1,EuSCAPE_HU003,0.5,Functional,Functional,Sensitive
GCF_900516275.1,EuSCAPE_HU004,1,Functional,Functional,Sensitive
GCF_900516445.1,EuSCAPE_HU007,1,Functional,Functional,Sensitive
GCF_900516595.1,EuSCAPE_HU008,1,Functional,Functional,Sensitive
GCF_900516665.1,EuSCAPE_HU010,1,Functional,Functional,Sensitive
GCF_900516785.1,EuSCAPE_HU018,1,Functional,Functional,Sensitive
GCF_900516805.1,EuSCAPE_HU019,1,Functional,Functional,Sensitive
GCF_900516825.1,EuSCAPE_HU023,1,Functional,Functional,Sensitive
GCF_900516925.1,EuSCAPE_HU028,1,Functional,Functional,Sensitive
GCF_900516935.1,EuSCAPE_HU036,1,Functional,Functional,Sensitive
GCF_900504425.1,EuSCAPE_RO093,1,Functional,Functional,Sensitive
GCF_902155955.1,EuSCAPE_RO094,1,Functional,Functional,Sensitive
GCF_902155845.1,EuSCAPE_HU009,2,Functional,Functional,Sensitive
GCF_900516755.1,EuSCAPE_HU015,2,Functional,Functional,Sensitive
GCF_900516875.1,EuSCAPE_HU026,2,Functional,Functional,Sensitive
GCF_900505345.1,EuSCAPE_RS053,4,Functional,Functional,Sensitive
GCF_900501575.1,EuSCAPE_GR010,4,Non-functional,Functional,Unknown
GCF_900513195.1,EuSCAPE_IT058,8,Non-functional,Functional,Sensitive
GCF_900500745.1,EuSCAPE_GR016,16,Non-functional,Functional,Unknown
GCF_900501265.1,EuSCAPE_GR001,16,Non-functional,Functional,Unknown
GCF_900501515.1,EuSCAPE_GR135,16,Non-functional,Functional,Unknown
GCF_900516945.1,EuSCAPE_BU022,32,Non-functional,Functional,Sensitive
GCF_900504905.1,EuSCAPE_UK041,32,Non-functional,Functional,Sensitive
GCF_900500715.1,EuSCAPE_GR027,32,Non-functional,Functional,Unknown
GCF_900500895.1,EuSCAPE_GR074,32,Non-functional,Functional,Unknown
GCF_900501545.1,EuSCAPE_GR008,32,Non-functional,Functional,Unknown
GCF_902156165.1,EuSCAPE_GR094,32,Non-functional,Functional,Unknown
GCF_900502285.1,EuSCAPE_GR121,32,Non-functional,Functional,Unknown
GCF_902155945.1,EuSCAPE_PL046,>32,Non-functional,Functional,Sensitive
GCF_900500735.1,EuSCAPE_GR026,>32,Non-functional,Functional,Unknown
GCF_900502325.1,EuSCAPE_GR133,>32,Non-functional,Functional,Unknown
GCF_900502385.1,EuSCAPE_GR134,>32,Non-functional,Functional,Unknown
GCF_900510635.1,EuSCAPE_SK005,≤0.06,Non-functional,Functional,Sensitive
GCF_900511255.1,EuSCAPE_AT029,32,Non-functional,Functional,Sensitive
GCF_900508735.1,EuSCAPE_TR201,32,Non-functional,Functional,Sensitive
GCF_900508745.1,EuSCAPE_TR204,>32,Non-functional,Functional,Sensitive
GCF_900514315.1,EuSCAPE_IT207,≤0.06,Non-functional,Functional,Sensitive
GCF_900504135.1,EuSCAPE_RO062,≤0.06,Non-functional,Functional,Unknown
GCF_900506985.1,EuSCAPE_BE088,2,Non-functional,Functional,Unknown
GCF_900508755.1,EuSCAPE_TR205,1,Non-functional,Functional,Sensitive
GCF_900505035.1,EuSCAPE_HR104,4,Non-functional,Functional,Unknown
GCF_900505635.1,EuSCAPE_HR001,4,Non-functional,Functional,Unknown
GCF_900504975.1,EuSCAPE_HR092,8,Non-functional,Functional,Unknown
GCF_900506055.1,EuSCAPE_HR060,2,Non-functional,Functional,Unknown
GCF_900506105.1,EuSCAPE_HR068,2,Non-functional,Functional,Unknown
GCF_900510085.1,EuSCAPE_PL003,≤0.06,Non-functional,Functional,Unknown
GCF_900512605.1,EuSCAPE_DE008,Not tested,Non-functional,Functional,Sensitive
GCF_900511405.1,EuSCAPE_AT031,16,Non-functional,Functional,Sensitive
GCF_900510785.1,EuSCAPE_SK020,≤0.06,Non-functional,Functional,Sensitive
GCF_900503165.1,EuSCAPE_UK101,≤0.06,Non-functional,Functional,Unknown
GCF_900504315.1,EuSCAPE_RO081,≤0.06,Non-functional,Functional,Unknown
GCF_900513015.1,EuSCAPE_IT042,1,Non-functional,Functional,Resistant
GCF_900505175.1,EuSCAPE_RO118,1,Non-functional,Functional,Resistant
GCF_900514115.1,EuSCAPE_IT014,0.12,Non-functional,Functional,Resistant
GCF_900510895.1,EuSCAPE_SK048,≤0.06,Non-functional,Functional,Sensitive
GCF_900502935.1,EuSCAPE_SC030,≤0.06,Non-functional,Functional,Sensitive
GCF_902156135.1,EuSCAPE_IL075,16,Non-functional,Functional,Sensitive
GCF_900511885.1,EuSCAPE_NO017,0.5,Non-functional,Functional,Sensitive
GCF_900509075.1,EuSCAPE_TR266,2,Non-functional,Functional,Unknown
GCF_900514725.1,EuSCAPE_IT107,≤0.06,Non-functional,Functional,Unknown
GCF_900515635.1,EuSCAPE_IT403,4,Non-functional,Functional,Sensitive
GCF_902156455.1,EuSCAPE_MK006,4,Non-functional,Functional,Sensitive
GCF_900501295.1,EuSCAPE_GR055,4,Non-functional,Functional,Sensitive
GCF_902156975.1,EuSCAPE_GR049,4,Non-functional,Functional,Unknown
GCF_900503355.1,EuSCAPE_HR021,4,Non-functional,Functional,Unknown
GCF_900514065.1,EuSCAPE_IT007,4,Non-functional,Functional,Sensitive
GCF_900510135.1,EuSCAPE_PL026,4,Non-functional,Functional,Unknown
GCF_900517705.1,EuSCAPE_ES287,Not tested,Non-functional,Functional,Sensitive
GCF_900502585.1,EuSCAPE_DK013,Not tested,Non-functional,Functional,Unknown
GCF_900511585.1,EuSCAPE_FR006,8,Non-functional,Functional,Resistant
GCF_900512535.1,EuSCAPE_DE051,8,Non-functional,Functional,Sensitive
GCF_900512645.1,EuSCAPE_DE074,8,Non-functional,Functional,Sensitive
GCF_900504845.1,EuSCAPE_UK030,8,Non-functional,Functional,Sensitive
GCF_902157005.1,EuSCAPE_BE092,8,Non-functional,Functional,Unknown
GCF_900514965.1,EuSCAPE_IT136,16,Non-functional,Functional,Sensitive
GCF_902157075.1,EuSCAPE_IE024,16,Non-functional,Functional,Sensitive
GCF_902156335.1,EuSCAPE_AT022,16,Non-functional,Functional,Sensitive
GCF_900501375.1,EuSCAPE_GR003,16,Non-functional,Functional,Unknown
GCF_900502415.1,EuSCAPE_GR149,16,Non-functional,Functional,Unknown
GCF_900504815.1,EuSCAPE_UK025,32,Non-functional,Functional,Sensitive
GCF_902156985.1,EuSCAPE_DE016,>32,Non-functional,Functional,Resistant
GCF_900514995.1,EuSCAPE_IT128,>32,Non-functional,Functional,Sensitive
GCF_900515015.1,EuSCAPE_IT138,>32,Non-functional,Functional,Sensitive
GCF_900515045.1,EuSCAPE_IT142,>32,Non-functional,Functional,Sensitive
GCF_900515035.1,EuSCAPE_IT144,>32,Non-functional,Functional,Sensitive
GCF_900515095.1,EuSCAPE_IT148,>32,Non-functional,Functional,Sensitive
GCF_900514925.1,EuSCAPE_IT092,8,Non-functional,Functional,Sensitive
GCF_900515775.1,EuSCAPE_IT292,8,Non-functional,Functional,Sensitive
GCF_900517725.1,EuSCAPE_ES289,8,Non-functional,Functional,Sensitive
GCF_902156075.1,EuSCAPE_ES291,8,Non-functional,Functional,Sensitive
GCF_900504795.1,EuSCAPE_UK014,8,Non-functional,Functional,Sensitive
GCF_902156515.1,EuSCAPE_PL039,16,Non-functional,Functional,Resistant
GCF_900515215.1,EuSCAPE_IT168,16,Non-functional,Functional,Resistant
GCF_900515785.1,EuSCAPE_IT290,16,Non-functional,Functional,Sensitive
GCF_900517735.1,EuSCAPE_ES293,16,Non-functional,Functional,Sensitive
GCF_902156365.1,EuSCAPE_UK048,16,Non-functional,Functional,Sensitive
GCF_902156385.1,EuSCAPE_GR158,16,Non-functional,Functional,Unknown
GCF_900502475.1,EuSCAPE_GR167,16,Non-functional,Functional,Unknown
GCF_900514045.1,EuSCAPE_IT005,32,Non-functional,Functional,Resistant
GCF_900515145.1,EuSCAPE_IT162,32,Non-functional,Functional,Resistant
GCF_902156275.1,EuSCAPE_IT166,32,Non-functional,Functional,Resistant
GCF_902156255.1,EuSCAPE_IT266,32,Non-functional,Functional,Resistant
GCF_900516135.1,EuSCAPE_IT347,32,Non-functional,Functional,Sensitive
GCF_900502485.1,EuSCAPE_GR166,32,Non-functional,Functional,Unknown
GCF_900513205.1,EuSCAPE_IT064,>32,Non-functional,Functional,Resistant
GCF_900514575.1,EuSCAPE_IT244,>32,Non-functional,Functional,Sensitive
GCF_900512795.1,EuSCAPE_NO002,16,Non-functional,Functional,Sensitive
GCF_900516045.1,EuSCAPE_IT334,0.12,Non-functional,Functional,Unknown
GCF_900501325.1,EuSCAPE_GR066,≤0.06,Non-functional,Functional,Resistant
GCF_900501615.1,EuSCAPE_GR160,≤0.06,Non-functional,Functional,Unknown
GCF_900511915.1,EuSCAPE_DE013,>32,Non-functional,Functional,Sensitive
GCF_900502185.1,EuSCAPE_PT092,Not tested,Non-functional,Functional,Unknown
GCF_902155875.1,EuSCAPE_IT062,8,Non-functional,Functional,Sensitive
GCF_900505425.1,EuSCAPE_RS077,4,Non-functional,Functional,Sensitive
GCF_900504895.1,EuSCAPE_UK044,0.5,Non-functional,Functional,Sensitive
GCF_900512595.1,EuSCAPE_DE069,0.5,Non-functional,Functional,Unknown
GCF_900512585.1,EuSCAPE_DE067,1,Non-functional,Functional,Sensitive
GCF_900516435.1,EuSCAPE_ES068,2,Non-functional,Functional,Sensitive
GCF_900516515.1,EuSCAPE_ES078,16,Non-functional,Functional,Sensitive
GCF_900516495.1,EuSCAPE_ES079,16,Non-functional,Functional,Sensitive
GCF_900517155.1,EuSCAPE_ES202,16,Non-functional,Functional,Sensitive
GCF_900516345.1,EuSCAPE_ES053,32,Non-functional,Functional,Sensitive
GCF_900503255.1,EuSCAPE_UK083,≤0.06,Non-functional,Functional,Unknown
GCF_900516525.1,EuSCAPE_ES083,1,Non-functional,Functional,Sensitive
GCF_900516315.1,EuSCAPE_ES054,2,Non-functional,Functional,Sensitive
GCF_900516425.1,EuSCAPE_ES062,2,Non-functional,Functional,Sensitive
GCF_900507825.1,EuSCAPE_BE109,2,Non-functional,Functional,Unknown
GCF_900503875.1,EuSCAPE_RO007,Not tested,Non-functional,Functional,Sensitive
GCF_900509975.1,EuSCAPE_AT004,0.12,Non-functional,Functional,Sensitive
GCF_900511125.1,EuSCAPE_CZ034,0.12,Non-functional,Functional,Sensitive
GCF_900512075.1,EuSCAPE_LT004,0.12,Non-functional,Functional,Unknown
GCF_900512035.1,EuSCAPE_LT003,2,Non-functional,Functional,Sensitive
GCF_900509995.1,EuSCAPE_AT032,≤0.06,Non-functional,Functional,Sensitive
GCF_900511525.1,EuSCAPE_PL049,≤0.06,Non-functional,Functional,Unknown
GCF_900507485.1,EuSCAPE_TR156,1,Non-functional,Functional,Sensitive
GCF_900507505.1,EuSCAPE_TR158,1,Non-functional,Functional,Unknown
GCF_900502395.1,EuSCAPE_GR147,8,Non-functional,Functional,Unknown
GCF_902156305.1,EuSCAPE_LU008,16,Non-functional,Functional,Unknown
GCF_900506795.1,EuSCAPE_BE062,0.12,Non-functional,Functional,Unknown
GCF_900509015.1,EuSCAPE_TR241,16,Non-functional,Functional,Sensitive
GCF_900508895.1,EuSCAPE_TR228,16,Non-functional,Functional,Unknown
GCF_900508945.1,EuSCAPE_TR240,16,Non-functional,Functional,Unknown
GCF_900508975.1,EuSCAPE_TR232,32,Non-functional,Functional,Resistant
GCF_900508935.1,EuSCAPE_TR236,32,Non-functional,Functional,Sensitive
GCF_900516225.1,EuSCAPE_IT365,≤0.06,Non-functional,Functional,Sensitive
GCF_900516455.1,EuSCAPE_ES067,0.5,Non-functional,Functional,Sensitive
GCF_900501155.1,EuSCAPE_ES133,16,Non-functional,Functional,Resistant
GCF_900517395.1,EuSCAPE_ES273,≤0.06,Non-functional,Functional,Sensitive
GCF_900501035.1,EuSCAPE_ES119,≤0.06,Non-functional,Functional,Sensitive
GCF_900501335.1,EuSCAPE_GR078,≤0.06,Non-functional,Functional,Unknown
GCF_900516335.1,EuSCAPE_ES052,1,Non-functional,Functional,Sensitive
GCF_900504195.1,EuSCAPE_RO071,1,Non-functional,Functional,Sensitive
GCF_900504235.1,EuSCAPE_RO074,1,Non-functional,Functional,Sensitive
GCF_900504595.1,EuSCAPE_RO031,1,Non-functional,Functional,Sensitive
GCF_900501065.1,EuSCAPE_ES130,2,Non-functional,Functional,Sensitive
GCF_900516585.1,EuSCAPE_ES080,2,Non-functional,Functional,Resistant
GCF_900503285.1,EuSCAPE_SI018,2,Non-functional,Functional,Sensitive
GCF_900516375.1,EuSCAPE_ES061,8,Non-functional,Functional,Sensitive
GCF_900516385.1,EuSCAPE_ES059,4,Non-functional,Functional,Sensitive
GCF_900511365.1,EuSCAPE_PL006,0.12,Non-functional,Functional,Unknown
GCF_900507755.1,EuSCAPE_BE108,1,Non-functional,Functional,Unknown
GCF_900501655.1,EuSCAPE_ES109,1,Non-functional,Functional,Sensitive
GCF_900516265.1,EuSCAPE_ES050,2,Non-functional,Functional,Sensitive
GCF_900516695.1,EuSCAPE_ES105,4,Non-functional,Functional,Sensitive
GCF_900517255.1,EuSCAPE_ES211,8,Non-functional,Functional,Sensitive
GCF_900507425.1,EuSCAPE_TR148,>32,Non-functional,Functional,Sensitive
GCF_900517225.1,EuSCAPE_ES210,2,Non-functional,Functional,Sensitive
GCF_900507465.1,EuSCAPE_TR141,2,Non-functional,Functional,Unknown
GCF_900513675.1,EuSCAPE_IL073,16,Non-functional,Functional,Sensitive
GCF_900507325.1,EuSCAPE_TR118,32,Non-functional,Functional,Sensitive
GCF_900508125.1,EuSCAPE_TR089,32,Non-functional,Functional,Unknown
GCF_900508105.1,EuSCAPE_TR086,>32,Non-functional,Functional,Resistant
GCF_900507395.1,EuSCAPE_TR126,>32,Non-functional,Functional,Sensitive
GCF_900507975.1,EuSCAPE_TR061,>32,Non-functional,Functional,Sensitive
GCF_900508075.1,EuSCAPE_TR085,>32,Non-functional,Functional,Unknown
GCF_900507365.1,EuSCAPE_TR123,32,Non-functional,Functional,Sensitive
GCF_902155915.1,EuSCAPE_TR083,>32,Non-functional,Functional,Resistant
GCF_900511785.1,EuSCAPE_EE008,0.12,Non-functional,Functional,Unknown
GCF_900510525.1,EuSCAPE_FR042,≤0.06,Non-functional,Functional,Sensitive
GCF_900512835.1,EuSCAPE_IT021,≤0.06,Non-functional,Functional,Sensitive
GCF_900511835.1,EuSCAPE_EE009,≤0.06,Non-functional,Functional,Unknown
GCF_900517805.1,EuSCAPE_LU003,≤0.06,Non-functional,Functional,Unknown
GCF_900503695.1,EuSCAPE_LU017,≤0.06,Non-functional,Functional,Unknown
GCF_900516295.1,EuSCAPE_ES043,2,Non-functional,Functional,Resistant
GCF_900501005.1,EuSCAPE_ES129,2,Non-functional,Functional,Sensitive
GCF_900503925.1,EuSCAPE_UK067,>32,Non-functional,Functional,Sensitive
GCF_900513905.1,EuSCAPE_ME007,≤0.06,Non-functional,Functional,Unknown
GCF_900513955.1,EuSCAPE_ME014,≤0.06,Non-functional,Functional,Unknown
GCF_900513985.1,EuSCAPE_ME015,≤0.06,Non-functional,Functional,Unknown
GCF_900506035.1,EuSCAPE_HR057,0.12,Non-functional,Functional,Unknown
GCF_900513495.1,EuSCAPE_IL049,≤0.06,Non-functional,Functional,Unknown
GCF_900506785.1,EuSCAPE_BE025,≤0.06,Non-functional,Functional,Unknown
GCF_900511085.1,EuSCAPE_CZ021,≤0.06,Non-functional,Functional,Sensitive
GCF_900510845.1,EuSCAPE_SK034,4,Functional,Functional,Sensitive
GCF_900502065.1,EuSCAPE_PT075,Not tested,Functional,Functional,Unknown
GCF_900504045.1,EuSCAPE_RO049,Not tested,Functional,Functional,Unknown
GCF_900504585.1,EuSCAPE_RO028,32,Functional,Functional,Sensitive
GCF_900516025.1,EuSCAPE_IT341,8,Functional,Functional,Sensitive
GCF_900501275.1,EuSCAPE_GR050,32,Functional,Functional,Sensitive
GCF_902156205.1,EuSCAPE_TR002,>32,Functional,Functional,Sensitive
GCF_900507635.1,EuSCAPE_TR010,>32,Functional,Functional,Sensitive
GCF_902156055.1,EuSCAPE_TR009,>32,Functional,Functional,Unknown
GCF_900506235.1,EuSCAPE_HR083,0.12,Functional,Functional,Unknown
GCF_900504945.1,EuSCAPE_HR091,0.5,Functional,Functional,Unknown
GCF_900505665.1,EuSCAPE_HR007,0.5,Functional,Functional,Unknown
GCF_900500965.1,EuSCAPE_HR106,1,Functional,Functional,Unknown
GCF_900505655.1,EuSCAPE_HR008,2,Functional,Functional,Unknown
GCF_900506115.1,EuSCAPE_HR066,2,Functional,Functional,Unknown
GCF_900505755.1,EuSCAPE_HR022,≤0.06,Functional,Functional,Unknown
GCF_900505815.1,EuSCAPE_HR025,≤0.06,Functional,Functional,Unknown
GCF_900506215.1,EuSCAPE_HR082,≤0.06,Functional,Functional,Unknown
GCF_900511495.1,EuSCAPE_PL048,>32,Non-functional,Functional,Sensitive
GCF_900508145.1,EuSCAPE_TR280,4,Non-functional,Functional,Unknown
GCF_900503305.1,EuSCAPE_RO103,Not tested,Non-functional,Functional,Resistant
GCF_900504335.1,EuSCAPE_RO083,Not tested,Non-functional,Functional,Resistant
GCF_900504385.1,EuSCAPE_RO088,Not tested,Non-functional,Functional,Resistant
GCF_900504445.1,EuSCAPE_RO015,Not tested,Non-functional,Functional,Resistant
GCF_900504495.1,EuSCAPE_RO101,Not tested,Non-functional,Functional,Resistant
GCF_900504765.1,EuSCAPE_RO004,Not tested,Non-functional,Functional,Resistant
GCF_900505575.1,EuSCAPE_RO123,Not tested,Non-functional,Functional,Resistant
GCF_900505625.1,EuSCAPE_RO125,Not tested,Non-functional,Functional,Resistant
GCF_900505645.1,EuSCAPE_RO126,Not tested,Non-functional,Functional,Resistant
GCF_900516245.1,EuSCAPE_IT364,>32,Non-functional,Functional,Resistant
GCF_900514255.1,EuSCAPE_IT201,>32,Non-functional,Functional,Sensitive
GCF_900514345.1,EuSCAPE_IT208,>32,Non-functional,Functional,Sensitive
GCF_900514355.1,EuSCAPE_IT210,>32,Non-functional,Functional,Sensitive
GCF_900515415.1,EuSCAPE_IT260,>32,Non-functional,Functional,Sensitive
GCF_900502985.1,EuSCAPE_SI002,8,Non-functional,Functional,Sensitive
GCF_900505315.1,EuSCAPE_RS052,>32,Non-functional,Functional,Sensitive
GCF_900505555.1,EuSCAPE_RS100,>32,Non-functional,Functional,Sensitive
GCF_900505595.1,EuSCAPE_RS103,>32,Non-functional,Functional,Sensitive
GCF_900506705.1,EuSCAPE_BE050,>32,Non-functional,Functional,Unknown
GCF_900503095.1,EuSCAPE_SI025,32,Non-functional,Functional,Sensitive
GCF_900505435.1,EuSCAPE_RS074,>32,Non-functional,Functional,Resistant
GCF_900505065.1,EuSCAPE_RS015,>32,Non-functional,Functional,Sensitive
GCF_902155925.1,EuSCAPE_RS017,>32,Non-functional,Functional,Sensitive
GCF_900505195.1,EuSCAPE_RS028,>32,Non-functional,Functional,Sensitive
GCF_900506145.1,EuSCAPE_RO111,8,Non-functional,Functional,Resistant
GCF_900503315.1,EuSCAPE_RO105,16,Non-functional,Functional,Resistant
GCF_900504375.1,EuSCAPE_RO084,16,Non-functional,Functional,Resistant
GCF_900505805.1,EuSCAPE_RO107,16,Non-functional,Functional,Resistant
GCF_900512775.1,EuSCAPE_DE010,16,Non-functional,Functional,Resistant
GCF_900511565.1,EuSCAPE_FR003,16,Non-functional,Functional,Sensitive
GCF_900504345.1,EuSCAPE_RO014,16,Non-functional,Functional,Sensitive
GCF_900505485.1,EuSCAPE_RS086,16,Non-functional,Functional,Sensitive
GCF_900505535.1,EuSCAPE_RS092,16,Non-functional,Functional,Sensitive
GCF_900505095.1,EuSCAPE_RS016,16,Non-functional,Functional,Sensitive
GCF_900506735.1,EuSCAPE_BE053,16,Non-functional,Functional,Unknown
GCF_900508185.1,EuSCAPE_TR290,16,Non-functional,Functional,Unknown
GCF_900503345.1,EuSCAPE_RO113,32,Non-functional,Functional,Resistant
GCF_900504105.1,EuSCAPE_RO061,32,Non-functional,Functional,Resistant
GCF_900504325.1,EuSCAPE_RO082,32,Non-functional,Functional,Resistant
GCF_900504415.1,EuSCAPE_RO089,32,Non-functional,Functional,Resistant
GCF_900504505.1,EuSCAPE_RO099,32,Non-functional,Functional,Resistant
GCF_900504885.1,EuSCAPE_RO115,32,Non-functional,Functional,Resistant
GCF_900505305.1,EuSCAPE_RO119,32,Non-functional,Functional,Resistant
GCF_900507575.1,EuSCAPE_TR001,32,Non-functional,Functional,Resistant
GCF_900508885.1,EuSCAPE_TR230,32,Non-functional,Functional,Resistant
GCF_900508775.1,EuSCAPE_TR207,32,Non-functional,Functional,Resistant
GCF_900504065.1,EuSCAPE_RO010,32,Non-functional,Functional,Sensitive
GCF_900504575.1,EuSCAPE_RO026,32,Non-functional,Functional,Sensitive
GCF_900505145.1,EuSCAPE_RS027,32,Non-functional,Functional,Sensitive
GCF_900505255.1,EuSCAPE_RS042,32,Non-functional,Functional,Sensitive
GCF_900505505.1,EuSCAPE_RS085,32,Non-functional,Functional,Sensitive
GCF_900505525.1,EuSCAPE_RS088,32,Non-functional,Functional,Sensitive
GCF_900507115.1,EuSCAPE_RS108,32,Non-functional,Functional,Sensitive
GCF_902156085.1,EuSCAPE_TR057,32,Non-functional,Functional,Sensitive
GCF_900508585.1,EuSCAPE_TR186,32,Non-functional,Functional,Sensitive
GCF_900509165.1,EuSCAPE_TR276,32,Non-functional,Functional,Sensitive
GCF_900507645.1,EuSCAPE_TR004,32,Non-functional,Functional,Unknown
GCF_900502305.1,EuSCAPE_GR125,32,Non-functional,Functional,Unknown
GCF_900508875.1,EuSCAPE_TR224,32,Non-functional,Functional,Unknown
GCF_900504165.1,EuSCAPE_RO012,>32,Non-functional,Functional,Resistant
GCF_900504175.1,EuSCAPE_RO067,>32,Non-functional,Functional,Resistant
GCF_900504465.1,EuSCAPE_RO095,>32,Non-functional,Functional,Resistant
GCF_900509195.1,EuSCAPE_TR277,>32,Non-functional,Functional,Resistant
GCF_900505125.1,EuSCAPE_RS026,>32,Non-functional,Functional,Sensitive
GCF_900505275.1,EuSCAPE_RS043,>32,Non-functional,Functional,Sensitive
GCF_900507855.1,EuSCAPE_TR044,>32,Non-functional,Functional,Unknown
GCF_900507935.1,EuSCAPE_TR052,>32,Non-functional,Functional,Unknown
GCF_900511545.1,EuSCAPE_FR001,0.12,Non-functional,Functional,Sensitive
GCF_900517835.1,EuSCAPE_GR006,0.25,Non-functional,Functional,Sensitive
GCF_900509145.1,EuSCAPE_TR273,0.5,Non-functional,Functional,Unknown
GCF_900503565.1,EuSCAPE_RS076,1,Non-functional,Functional,Sensitive
GCF_900504555.1,EuSCAPE_RO023,1,Non-functional,Functional,Sensitive
GCF_900505075.1,EuSCAPE_RO117,1,Non-functional,Functional,Sensitive
GCF_900505445.1,EuSCAPE_RS079,1,Non-functional,Functional,Sensitive
GCF_900507195.1,EuSCAPE_RS118,1,Non-functional,Functional,Sensitive
GCF_900504095.1,EuSCAPE_RO056,1,Non-functional,Functional,Unknown
GCF_900504665.1,EuSCAPE_RO029,2,Non-functional,Functional,Unknown
GCF_900507925.1,EuSCAPE_TR055,0.12,Non-functional,Functional,Sensitive
GCF_900505475.1,EuSCAPE_RO122,1,Non-functional,Functional,Resistant
GCF_900513135.1,EuSCAPE_IT056,4,Non-functional,Functional,Resistant
GCF_900514365.1,EuSCAPE_IT214,Not tested,Non-functional,Functional,Resistant
GCF_900514775.1,EuSCAPE_IT116,Not tested,Non-functional,Functional,Resistant
GCF_900500815.1,EuSCAPE_GR051,32,Non-functional,Functional,Sensitive
GCF_900500795.1,EuSCAPE_GR053,32,Non-functional,Functional,Sensitive
GCF_900512375.1,EuSCAPE_DE028,>32,Non-functional,Functional,Resistant
GCF_900501365.1,EuSCAPE_GR069,>32,Non-functional,Functional,Resistant
GCF_900510705.1,EuSCAPE_SK017,>32,Non-functional,Functional,Sensitive
GCF_900500835.1,EuSCAPE_GR057,>32,Non-functional,Functional,Sensitive
GCF_900501385.1,EuSCAPE_GR085,>32,Non-functional,Functional,Sensitive
GCF_900502255.1,EuSCAPE_GR089,>32,Non-functional,Functional,Sensitive
GCF_900502345.1,EuSCAPE_GR090,>32,Non-functional,Functional,Sensitive
GCF_900502465.1,EuSCAPE_GR091,>32,Non-functional,Functional,Sensitive
GCF_900503825.1,EuSCAPE_UK047,>32,Non-functional,Functional,Sensitive
GCF_900500695.1,EuSCAPE_GR030,>32,Non-functional,Functional,Unknown
GCF_900501235.1,EuSCAPE_GR036,>32,Non-functional,Functional,Unknown
GCF_900501395.1,EuSCAPE_GR107,>32,Non-functional,Functional,Unknown
GCF_900501455.1,EuSCAPE_GR108,>32,Non-functional,Functional,Unknown
GCF_900501525.1,EuSCAPE_GR146,>32,Non-functional,Functional,Unknown
GCF_900501555.1,EuSCAPE_GR151,>32,Non-functional,Functional,Unknown
GCF_900501585.1,EuSCAPE_GR154,>32,Non-functional,Functional,Unknown
GCF_900502075.1,EuSCAPE_GR105,>32,Non-functional,Functional,Unknown
GCF_900502365.1,EuSCAPE_GR139,>32,Non-functional,Functional,Unknown
GCF_900502425.1,EuSCAPE_GR165,>32,Non-functional,Functional,Unknown
GCF_900500775.1,EuSCAPE_GR032,>32,Non-functional,Functional,Unknown
GCF_900501445.1,EuSCAPE_GR110,32,Non-functional,Functional,Unknown
GCF_900513265.1,EuSCAPE_IT066,32,Non-functional,Functional,Resistant
GCF_900514525.1,EuSCAPE_IT234,32,Non-functional,Functional,Resistant
GCF_900515515.1,EuSCAPE_IT382,32,Non-functional,Functional,Resistant
GCF_902156755.1,EuSCAPE_IL012,32,Non-functional,Functional,Sensitive
GCF_900512185.1,EuSCAPE_IL013,32,Non-functional,Functional,Sensitive
GCF_900513425.1,EuSCAPE_IL044,32,Non-functional,Functional,Sensitive
GCF_900513615.1,EuSCAPE_IL062,32,Non-functional,Functional,Sensitive
GCF_902156655.1,EuSCAPE_IL077,32,Non-functional,Functional,Sensitive
GCF_900513785.1,EuSCAPE_IL083,32,Non-functional,Functional,Sensitive
GCF_900515305.1,EuSCAPE_IT180,32,Non-functional,Functional,Sensitive
